category,vtype,tp,fp,fp_density
DODGY_CODE,ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,0,3,1.0
BAD_PRACTICE,SI_INSTANCE_BEFORE_FINALS_ASSIGNED,0,1,1.0
CORRECTNESS,MF_CLASS_MASKS_FIELD,0,1,1.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,4,301,0.9868852459016394
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1,30,0.967741935483871
DODGY_CODE,SF_SWITCH_FALLTHROUGH,2,56,0.9655172413793104
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,22,0.9166666666666666
DODGY_CODE,BC_UNCONFIRMED_CAST,3,32,0.9142857142857143
DODGY_CODE,UC_USELESS_CONDITION,2,18,0.9
DODGY_CODE,SF_SWITCH_NO_DEFAULT,19,90,0.8256880733944955
PERFORMANCE,SS_SHOULD_BE_STATIC,6,25,0.8064516129032258
I18N,DM_CONVERT_CASE,6,12,0.6666666666666666
MALICIOUS_CODE,MS_PKGPROTECT,4,6,0.6
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,10,8,0.4444444444444444
I18N,DM_DEFAULT_ENCODING,24,19,0.4418604651162791
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,4,2,0.3333333333333333
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,1,0.3333333333333333
MALICIOUS_CODE,EI_EXPOSE_REP2,3,1,0.25
BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,1,0,0.0
DODGY_CODE,INT_VACUOUS_BIT_OPERATION,4,0,0.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,0,0.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,0,0.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,1,0,0.0
CORRECTNESS,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,2,0,0.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1,0,0.0
CORRECTNESS,VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,3,0,0.0
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,1,0,0.0
PERFORMANCE,URF_UNREAD_FIELD,1,0,0.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,7,0,0.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,0,0.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,1,0,0.0
