category,vtype,tp,fp,fp_density
BAD_PRACTICE,SE_BAD_FIELD,0,224,1.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,0,168,1.0
DODGY_CODE,BC_UNCONFIRMED_CAST,0,56,1.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,0,36,1.0
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,0,24,1.0
BAD_PRACTICE,SE_INNER_CLASS,0,23,1.0
DODGY_CODE,EQ_UNUSUAL,0,22,1.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,0,21,1.0
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,0,12,1.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,0,12,1.0
MALICIOUS_CODE,EI_EXPOSE_REP,0,12,1.0
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,0,12,1.0
PERFORMANCE,URF_UNREAD_FIELD,0,11,1.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,0,11,1.0
BAD_PRACTICE,SE_TRANSIENT_FIELD_NOT_RESTORED,0,10,1.0
DODGY_CODE,DMI_NONSERIALIZABLE_OBJECT_WRITTEN,0,7,1.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0,5,1.0
DODGY_CODE,IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,0,4,1.0
Multithreaded correctness,UG_SYNC_SET_UNSYNC_GET,0,4,1.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0,2,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,0,2,1.0
CORRECTNESS,UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,0,2,1.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,1,34,0.9714285714285714
MALICIOUS_CODE,EI_EXPOSE_REP2,1,19,0.95
DODGY_CODE,UC_USELESS_CONDITION,1,8,0.8888888888888888
CORRECTNESS,INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,1,8,0.8888888888888888
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,1,2,0.6666666666666666
PERFORMANCE,DM_NUMBER_CTOR,1,1,0.5
DODGY_CODE,RI_REDUNDANT_INTERFACES,25,0,0.0
