category,vtype,tp,fp,fp_density
DODGY_CODE,BC_UNCONFIRMED_CAST,0,20,1.0
BAD_PRACTICE,SR_NOT_CHECKED,0,19,1.0
CORRECTNESS,NM_WRONG_PACKAGE,0,2,1.0
BAD_PRACTICE,RR_NOT_CHECKED,1,17,0.9444444444444444
BAD_PRACTICE,SE_NO_SERIALVERSIONID,1,16,0.9411764705882353
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,1,12,0.9230769230769231
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,5,56,0.9180327868852459
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,2,19,0.9047619047619048
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,19,0.9047619047619048
I18N,DM_DEFAULT_ENCODING,9,76,0.8941176470588236
MALICIOUS_CODE,MS_PKGPROTECT,8,64,0.8888888888888888
I18N,DM_CONVERT_CASE,17,135,0.8881578947368421
MALICIOUS_CODE,EI_EXPOSE_REP,3,19,0.8636363636363636
MALICIOUS_CODE,EI_EXPOSE_REP2,3,19,0.8636363636363636
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,3,16,0.8421052631578947
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,7,30,0.8108108108108109
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,1,2,0.6666666666666666
BAD_PRACTICE,DE_MIGHT_IGNORE,1,2,0.6666666666666666
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,1,1,0.5
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,1,1,0.5
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,8,0,0.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,3,0,0.0
DODGY_CODE,BC_VACUOUS_INSTANCEOF,1,0,0.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,0,0.0
PERFORMANCE,UUF_UNUSED_FIELD,2,0,0.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2,0,0.0
