category,vtype,tp,fp,fp_density
DODGY_CODE,BC_UNCONFIRMED_CAST,0,23,1.0
BAD_PRACTICE,SR_NOT_CHECKED,0,22,1.0
CORRECTNESS,NM_WRONG_PACKAGE,0,2,1.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,1,21,0.9545454545454546
BAD_PRACTICE,RR_NOT_CHECKED,1,20,0.9523809523809523
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,1,14,0.9333333333333333
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,5,65,0.9285714285714286
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,2,22,0.9166666666666666
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,22,0.9166666666666666
MALICIOUS_CODE,MS_PKGPROTECT,8,84,0.9130434782608695
I18N,DM_CONVERT_CASE,17,167,0.907608695652174
I18N,DM_DEFAULT_ENCODING,9,88,0.9072164948453608
MALICIOUS_CODE,EI_EXPOSE_REP2,3,22,0.88
MALICIOUS_CODE,EI_EXPOSE_REP,3,22,0.88
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,3,21,0.875
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,7,34,0.8292682926829268
BAD_PRACTICE,DE_MIGHT_IGNORE,1,2,0.6666666666666666
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,1,2,0.6666666666666666
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,1,2,0.6666666666666666
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,1,1,0.5
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2,0,0.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,8,0,0.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,3,0,0.0
DODGY_CODE,BC_VACUOUS_INSTANCEOF,1,0,0.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,0,0.0
PERFORMANCE,UUF_UNUSED_FIELD,2,0,0.0
