category,vtype,tp,fp,fp_density
Multithreaded correctness,NO_NOTIFY_NOT_NOTIFYALL,0,27,1.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,0,18,1.0
Multithreaded correctness,UW_UNCOND_WAIT,0,18,1.0
BAD_PRACTICE,SE_BAD_FIELD,0,9,1.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,0,7,1.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,0,2,1.0
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,1,72,0.9863013698630136
I18N,DM_DEFAULT_ENCODING,3,108,0.972972972972973
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,17,230,0.9311740890688259
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,2,27,0.9310344827586207
Multithreaded correctness,WA_NOT_IN_LOOP,1,9,0.9
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,9,0.9
DODGY_CODE,DLS_DEAD_LOCAL_STORE,4,28,0.875
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,1,7,0.875
CORRECTNESS,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,2,8,0.8
DODGY_CODE,SF_SWITCH_NO_DEFAULT,1,4,0.8
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,5,18,0.782608695652174
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,5,16,0.7619047619047619
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2,6,0.75
I18N,DM_CONVERT_CASE,2,6,0.75
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,5,14,0.7368421052631579
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,5,0.7142857142857143
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,9,22,0.7096774193548387
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,12,0.631578947368421
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,0,0.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,1,0,0.0
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,0,0.0
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,2,0,0.0
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,1,0,0.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,1,0,0.0
Multithreaded correctness,LI_LAZY_INIT_STATIC,2,0,0.0
MALICIOUS_CODE,EI_EXPOSE_REP,1,0,0.0
MALICIOUS_CODE,EI_EXPOSE_REP2,1,0,0.0
CORRECTNESS,UWF_NULL_FIELD,1,0,0.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,1,0,0.0
PERFORMANCE,UUF_UNUSED_FIELD,1,0,0.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,1,0,0.0
DODGY_CODE,NP_IMMEDIATE_DEREFERENCE_OF_READLINE,0,0,-1
DODGY_CODE,REC_CATCH_EXCEPTION,0,0,-1
DODGY_CODE,BC_UNCONFIRMED_CAST,0,0,-1
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0,0,-1
BAD_PRACTICE,VA_FORMAT_STRING_USES_NEWLINE,0,0,-1
BAD_PRACTICE,NM_CLASS_NAMING_CONVENTION,0,0,-1
BAD_PRACTICE,OS_OPEN_STREAM,0,0,-1
BAD_PRACTICE,DM_EXIT,0,0,-1
Multithreaded correctness,VO_VOLATILE_INCREMENT,0,0,-1
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,0,0,-1
PERFORMANCE,DM_NUMBER_CTOR,0,0,-1
PERFORMANCE,SS_SHOULD_BE_STATIC,0,0,-1
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,0,0,-1
