category,vtype,tp,fp,fp_density
Multithreaded correctness,NO_NOTIFY_NOT_NOTIFYALL,0,57,1.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,0,38,1.0
Multithreaded correctness,UW_UNCOND_WAIT,0,38,1.0
BAD_PRACTICE,NM_CLASS_NAMING_CONVENTION,0,36,1.0
BAD_PRACTICE,VA_FORMAT_STRING_USES_NEWLINE,0,22,1.0
BAD_PRACTICE,SE_BAD_FIELD,0,18,1.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,0,16,1.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,0,8,1.0
BAD_PRACTICE,DM_EXIT,0,8,1.0
BAD_PRACTICE,OS_OPEN_STREAM,0,7,1.0
DODGY_CODE,REC_CATCH_EXCEPTION,0,4,1.0
DODGY_CODE,BC_UNCONFIRMED_CAST,0,4,1.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,0,4,1.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,0,3,1.0
PERFORMANCE,DM_NUMBER_CTOR,0,3,1.0
DODGY_CODE,NP_IMMEDIATE_DEREFERENCE_OF_READLINE,0,2,1.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0,2,1.0
PERFORMANCE,SS_SHOULD_BE_STATIC,0,1,1.0
Multithreaded correctness,VO_VOLATILE_INCREMENT,0,1,1.0
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,1,170,0.9941520467836257
I18N,DM_DEFAULT_ENCODING,3,452,0.9934065934065934
MALICIOUS_CODE,EI_EXPOSE_REP2,1,52,0.9811320754716981
MALICIOUS_CODE,EI_EXPOSE_REP,1,48,0.9795918367346939
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,17,567,0.9708904109589042
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,2,57,0.9661016949152542
DODGY_CODE,SF_SWITCH_NO_DEFAULT,1,22,0.9565217391304348
Multithreaded correctness,WA_NOT_IN_LOOP,1,19,0.95
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,5,82,0.9425287356321839
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,0.9411764705882353
DODGY_CODE,DLS_DEAD_LOCAL_STORE,4,57,0.9344262295081968
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,1,11,0.9166666666666666
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,9,85,0.9042553191489362
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,5,46,0.9019607843137255
CORRECTNESS,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,2,17,0.8947368421052632
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,1,8,0.8888888888888888
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,51,0.8793103448275862
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,14,0.875
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2,12,0.8571428571428571
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,5,29,0.8529411764705882
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,1,5,0.8333333333333334
I18N,DM_CONVERT_CASE,2,7,0.7777777777777778
PERFORMANCE,UUF_UNUSED_FIELD,1,3,0.75
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,1,3,0.75
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,2,2,0.5
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,1,1,0.5
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,0,0.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,1,0,0.0
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,0,0.0
CORRECTNESS,UWF_NULL_FIELD,1,0,0.0
Multithreaded correctness,LI_LAZY_INIT_STATIC,2,0,0.0
