category,vtype,tp,fp,fp_density
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0,71,1.0
MALICIOUS_CODE,EI_EXPOSE_REP,0,63,1.0
MALICIOUS_CODE,EI_EXPOSE_REP2,0,63,1.0
PERFORMANCE,URF_UNREAD_FIELD,0,42,1.0
BAD_PRACTICE,DE_MIGHT_IGNORE,0,29,1.0
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,0,29,1.0
CORRECTNESS,NP_NULL_PARAM_DEREF,0,29,1.0
DODGY_CODE,REC_CATCH_EXCEPTION,0,29,1.0
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0,10,1.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,0,10,1.0
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,0,5,1.0
CORRECTNESS,UR_UNINIT_READ,0,2,1.0
PERFORMANCE,UUF_UNUSED_FIELD,0,2,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,0,2,1.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,11,295,0.9640522875816994
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,116,0.943089430894309
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,4,61,0.9384615384615385
CORRECTNESS,MF_CLASS_MASKS_FIELD,1,10,0.9090909090909091
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,4,37,0.9024390243902439
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,8,0.8888888888888888
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,22,0.88
DODGY_CODE,UC_USELESS_OBJECT,5,30,0.8571428571428571
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2,12,0.8571428571428571
BAD_PRACTICE,ES_COMPARING_PARAMETER_STRING_WITH_EQ,1,6,0.8571428571428571
CORRECTNESS,NP_UNWRITTEN_FIELD,4,23,0.8518518518518519
CORRECTNESS,UWF_UNWRITTEN_FIELD,13,72,0.8470588235294118
DODGY_CODE,RV_RETURN_VALUE_IGNORED_INFERRED,2,11,0.8461538461538461
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,5,25,0.8333333333333334
CORRECTNESS,NP_NULL_ON_SOME_PATH,1,4,0.8
I18N,DM_DEFAULT_ENCODING,9,31,0.775
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,1,3,0.75
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,3,0.6
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,1,1,0.5
DODGY_CODE,UC_USELESS_CONDITION,1,0,0.0
I18N,DM_CONVERT_CASE,2,0,0.0
PERFORMANCE,SS_SHOULD_BE_STATIC,3,0,0.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,0,0,-1
