category,vtype,tp,fp,fp_density
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0,81,1.0
MALICIOUS_CODE,EI_EXPOSE_REP,0,63,1.0
MALICIOUS_CODE,EI_EXPOSE_REP2,0,63,1.0
PERFORMANCE,URF_UNREAD_FIELD,0,44,1.0
DODGY_CODE,REC_CATCH_EXCEPTION,0,43,1.0
BAD_PRACTICE,DE_MIGHT_IGNORE,0,43,1.0
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,0,43,1.0
CORRECTNESS,NP_NULL_PARAM_DEREF,0,43,1.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,0,25,1.0
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0,19,1.0
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,0,13,1.0
PERFORMANCE,UUF_UNUSED_FIELD,0,6,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,0,5,1.0
CORRECTNESS,UR_UNINIT_READ,0,4,1.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,0,2,1.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,11,475,0.977366255144033
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,4,122,0.9682539682539683
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,190,0.9644670050761421
CORRECTNESS,MF_CLASS_MASKS_FIELD,1,20,0.9523809523809523
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,19,0.95
BAD_PRACTICE,ES_COMPARING_PARAMETER_STRING_WITH_EQ,1,17,0.9444444444444444
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2,30,0.9375
CORRECTNESS,NP_NULL_ON_SOME_PATH,1,14,0.9333333333333333
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,4,47,0.9215686274509803
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,35,0.9210526315789473
CORRECTNESS,NP_UNWRITTEN_FIELD,4,42,0.9130434782608695
CORRECTNESS,UWF_UNWRITTEN_FIELD,13,136,0.912751677852349
I18N,DM_DEFAULT_ENCODING,9,80,0.898876404494382
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,5,39,0.8863636363636364
DODGY_CODE,UC_USELESS_OBJECT,5,32,0.8648648648648649
DODGY_CODE,RV_RETURN_VALUE_IGNORED_INFERRED,2,11,0.8461538461538461
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,1,4,0.8
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,7,0.7777777777777778
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,1,1,0.5
DODGY_CODE,UC_USELESS_CONDITION,1,0,0.0
PERFORMANCE,SS_SHOULD_BE_STATIC,3,0,0.0
I18N,DM_CONVERT_CASE,2,0,0.0
