category,vtype,tp,fp,fp_density
Multithreaded correctness,ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,0,40,1.0
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,0,28,1.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,0,26,1.0
PERFORMANCE,DM_STRING_CTOR,0,20,1.0
PERFORMANCE,DM_GC,0,20,1.0
MALICIOUS_CODE,MS_PKGPROTECT,0,20,1.0
PERFORMANCE,DM_STRING_TOSTRING,0,18,1.0
DODGY_CODE,DCN_NULLPOINTER_EXCEPTION,0,15,1.0
DODGY_CODE,NS_DANGEROUS_NON_SHORT_CIRCUIT,0,13,1.0
Multithreaded correctness,WA_NOT_IN_LOOP,0,12,1.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,0,11,1.0
PERFORMANCE,DM_BOXED_PRIMITIVE_TOSTRING,0,9,1.0
PERFORMANCE,DM_BOOLEAN_CTOR,0,9,1.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,0,9,1.0
BAD_PRACTICE,SR_NOT_CHECKED,0,8,1.0
BAD_PRACTICE,DMI_RANDOM_USED_ONLY_ONCE,0,8,1.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,0,8,1.0
MALICIOUS_CODE,MS_EXPOSE_REP,0,8,1.0
MALICIOUS_CODE,DP_DO_INSIDE_DO_PRIVILEGED,0,8,1.0
Multithreaded correctness,RU_INVOKE_RUN,0,8,1.0
BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,0,7,1.0
MALICIOUS_CODE,MS_OOI_PKGPROTECT,0,6,1.0
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,0,6,1.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,0,4,1.0
BAD_PRACTICE,FI_EXPLICIT_INVOCATION,0,3,1.0
MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,0,3,1.0
CORRECTNESS,UR_UNINIT_READ,0,3,1.0
CORRECTNESS,NP_NONNULL_RETURN_VIOLATION,0,1,1.0
MALICIOUS_CODE,EI_EXPOSE_REP,20,1037,0.9810785241248817
MALICIOUS_CODE,EI_EXPOSE_REP2,26,1145,0.977796754910333
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,5,124,0.9612403100775194
I18N,DM_CONVERT_CASE,6,135,0.9574468085106383
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,7,142,0.9530201342281879
PERFORMANCE,URF_UNREAD_FIELD,2,38,0.95
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,1,17,0.9444444444444444
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,32,0.9411764705882353
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,2,32,0.9411764705882353
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,1,16,0.9411764705882353
I18N,DM_DEFAULT_ENCODING,28,402,0.9348837209302325
DODGY_CODE,SF_SWITCH_NO_DEFAULT,4,56,0.9333333333333333
