category,vtype,tp,fp,fp_density
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,0,86,1.0
PERFORMANCE,DM_STRING_CTOR,0,76,1.0
Multithreaded correctness,ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,0,76,1.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,0,72,1.0
BAD_PRACTICE,SR_NOT_CHECKED,0,60,1.0
MALICIOUS_CODE,MS_PKGPROTECT,0,53,1.0
PERFORMANCE,DM_STRING_TOSTRING,0,46,1.0
DODGY_CODE,DCN_NULLPOINTER_EXCEPTION,0,45,1.0
PERFORMANCE,DM_GC,0,44,1.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,0,38,1.0
MALICIOUS_CODE,DP_DO_INSIDE_DO_PRIVILEGED,0,34,1.0
MALICIOUS_CODE,MS_EXPOSE_REP,0,33,1.0
BAD_PRACTICE,DMI_RANDOM_USED_ONLY_ONCE,0,33,1.0
Multithreaded correctness,RU_INVOKE_RUN,0,31,1.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,0,31,1.0
BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,0,31,1.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,0,31,1.0
MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,0,28,1.0
BAD_PRACTICE,FI_EXPLICIT_INVOCATION,0,28,1.0
Multithreaded correctness,WA_NOT_IN_LOOP,0,21,1.0
DODGY_CODE,NS_DANGEROUS_NON_SHORT_CIRCUIT,0,21,1.0
CORRECTNESS,NP_NONNULL_RETURN_VIOLATION,0,21,1.0
CORRECTNESS,NP_NULL_ON_SOME_PATH_EXCEPTION,0,20,1.0
CORRECTNESS,GC_UNRELATED_TYPES,0,19,1.0
PERFORMANCE,DM_BOXED_PRIMITIVE_TOSTRING,0,17,1.0
PERFORMANCE,DM_BOOLEAN_CTOR,0,17,1.0
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,0,14,1.0
MALICIOUS_CODE,MS_OOI_PKGPROTECT,0,14,1.0
BAD_PRACTICE,SE_BAD_FIELD,0,14,1.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,0,12,1.0
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,0,10,1.0
CORRECTNESS,UR_UNINIT_READ,0,5,1.0
BAD_PRACTICE,NM_METHOD_NAMING_CONVENTION,0,4,1.0
PERFORMANCE,UUF_UNUSED_FIELD,0,3,1.0
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,0,3,1.0
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0,2,1.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,0,2,1.0
Multithreaded correctness,SWL_SLEEP_WITH_LOCK_HELD,0,1,1.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,0,1,1.0
MALICIOUS_CODE,EI_EXPOSE_REP,20,3417,0.9941809717777131
MALICIOUS_CODE,EI_EXPOSE_REP2,26,3811,0.9932238728173052
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,5,624,0.9920508744038156
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,1,86,0.9885057471264368
DODGY_CODE,UC_USELESS_CONDITION,1,64,0.9846153846153847
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,2,121,0.983739837398374
I18N,DM_CONVERT_CASE,6,350,0.9831460674157303
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,1,54,0.9818181818181818
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,7,348,0.9802816901408451
I18N,DM_DEFAULT_ENCODING,28,1333,0.9794268919911829
PERFORMANCE,URF_UNREAD_FIELD,2,95,0.979381443298969
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,13,598,0.9787234042553191
BAD_PRACTICE,RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1,43,0.9772727272727273
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,18,751,0.976592977893368
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,5,185,0.9736842105263158
BAD_PRACTICE,OS_OPEN_STREAM,5,182,0.9732620320855615
DODGY_CODE,SF_SWITCH_NO_DEFAULT,4,145,0.9731543624161074
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,67,0.9710144927536232
DODGY_CODE,RV_CHECK_FOR_POSITIVE_INDEXOF,3,98,0.9702970297029703
BAD_PRACTICE,NM_CONFUSING,1,31,0.96875
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,55,0.9649122807017544
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,1,27,0.9642857142857143
DODGY_CODE,UCF_USELESS_CONTROL_FLOW,6,161,0.9640718562874252
DODGY_CODE,DLS_DEAD_LOCAL_STORE,1,23,0.9583333333333334
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,12,271,0.9575971731448764
Multithreaded correctness,NN_NAKED_NOTIFY,2,45,0.9574468085106383
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,22,0.9565217391304348
CORRECTNESS,UWF_UNWRITTEN_FIELD,15,329,0.9563953488372093
BAD_PRACTICE,UI_INHERITANCE_UNSAFE_GETRESOURCE,1,21,0.9545454545454546
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,3,58,0.9508196721311475
DODGY_CODE,REC_CATCH_EXCEPTION,3,57,0.95
CORRECTNESS,NP_UNWRITTEN_FIELD,21,395,0.9495192307692307
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,4,53,0.9298245614035088
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,3,39,0.9285714285714286
PERFORMANCE,DM_NUMBER_CTOR,1,13,0.9285714285714286
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9,113,0.9262295081967213
Multithreaded correctness,LI_LAZY_INIT_STATIC,6,70,0.9210526315789473
CORRECTNESS,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,2,23,0.92
BAD_PRACTICE,CN_IDIOM_NO_SUPER_CALL,2,21,0.9130434782608695
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,17,171,0.9095744680851063
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,9,90,0.9090909090909091
CORRECTNESS,RV_RETURN_VALUE_IGNORED,2,18,0.9
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,1,6,0.8571428571428571
DODGY_CODE,NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE,2,2,0.5
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,1,1,0.5
MALICIOUS_CODE,REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1,1,0.5
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,1,1,0.5
CORRECTNESS,EC_UNRELATED_TYPES,2,1,0.3333333333333333
DODGY_CODE,UC_USELESS_OBJECT,1,0,0.0
CORRECTNESS,NP_NONNULL_PARAM_VIOLATION,1,0,0.0
